event_id,ticker,zone_id,structural_zone_key,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,touch_count_before_event,meaningful_touch_count_before_event,is_first_meaningful_test,bars_since_last_touch,days_since_last_touch,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,label,success_flag,failure_flag,unresolved_flag,false_breakout_flag,failed_follow_through_flag,breakout_confirmed_flag,hold_outside_flag,target_hit_flag,retest_success_flag,max_favorable_excursion,max_adverse_excursion,follow_through_pct,reentry_flag,bars_to_reentry,bars_to_target,failure_subtype,bars_to_failure,reentry_depth_pct,post_breakout_best_close_pct,move_over_atr,move_over_zone_width,hold_outside_bars,breakout_quality_score,outcome_window_end
TSLA::20250731::support::2::breakout_down::2025-08-01T00:00:00,TSLA,TSLA::20250731::support::2,TSLA::support::315.6500::5.1000::avwap_D::D,2025-08-01,breakout_down,down,302.6300048828125,313.0993464812186,-0.03343776253788548,61,1,61,1,1,False,1.0,1.0,cost,support,D,0.016160347848506833,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_down"", ""zone_valid_from"": ""2025-07-31T00:00:00"", ""zone_valid_to"": ""2025-08-06T23:59:59.999999""}",failure,0,1,0,1,0,1,1,0,0,-0.0012225989201922437,0.17433833035179466,-0.1032283307349913,1,3.0,,fast_false_breakout,3.0,7.561376332838815,-0.02012357082784589,,-0.07565424529554345,3.0,-58.29101066271052,2025-08-29
TSLA::20250731::support::2::failed_breakout_down::2025-08-06T00:00:00,TSLA,TSLA::20250731::support::2,TSLA::support::315.6500::5.1000::avwap_D::D,2025-08-06,failed_breakout_down,down,319.9100036621094,313.0993464812186,0.02175238389167094,64,4,64,2,2,False,,,cost,support,D,0.016160347848506833,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""failed_breakout_down"", ""zone_valid_from"": ""2025-07-31T00:00:00"", ""zone_valid_to"": ""2025-08-06T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250731::support::2::test::2025-08-06T00:00:00,TSLA,TSLA::20250731::support::2,TSLA::support::315.6500::5.1000::avwap_D::D,2025-08-06,test,down,319.9100036621094,313.0993464812186,0.02175238389167094,64,4,64,4,1,False,1.0,1.0,cost,support,D,0.016160347848506833,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-31T00:00:00"", ""zone_valid_to"": ""2025-08-06T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250807::resistance::1::test::2025-08-08T00:00:00,TSLA,TSLA::20250807::resistance::1,"TSLA::resistance::322.4300::22.9125::avwap_D,vp_W::D,W",2025-08-08,test,up,329.6499938964844,333.8846351623535,-0.012682947401308264,66,1,66,0,0,True,,,composite,resistance,"D,W",0.07106000324646278,2,"{""source_reason"": ""avwap_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-08-07T00:00:00"", ""zone_valid_to"": ""2025-08-13T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250807::resistance::1::probe::2025-08-11T00:00:00,TSLA,TSLA::20250807::resistance::1,"TSLA::resistance::322.4300::22.9125::avwap_D,vp_W::D,W",2025-08-11,probe,up,339.0299987792969,333.8846351623535,0.015410603169688852,67,2,67,1,1,False,1.0,3.0,composite,resistance,"D,W",0.07106000324646278,2,"{""source_reason"": ""avwap_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-08-07T00:00:00"", ""zone_valid_to"": ""2025-08-13T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250807::resistance::1::breakout_up::2025-08-12T00:00:00,TSLA,TSLA::20250807::resistance::1,"TSLA::resistance::322.4300::22.9125::avwap_D,vp_W::D,W",2025-08-12,breakout_up,up,340.8399963378906,333.8846351623535,0.02083162997948388,68,3,68,2,1,False,1.0,1.0,composite,resistance,"D,W",0.07106000324646278,2,"{""source_reason"": ""avwap_D,vp_W"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-08-07T00:00:00"", ""zone_valid_to"": ""2025-08-13T23:59:59.999999""}",success,1,0,0,0,0,1,1,1,1,0.05163715025412662,0.07698624139275624,0.020390835235608258,1,6.0,10.0,none,,0.6012036320677031,0.03177449010152977,,0.7266696861106183,3.0,-0.293257554000359,2025-09-10
TSLA::20250821::resistance::1::probe::2025-08-22T00:00:00,TSLA,TSLA::20250821::resistance::1,"TSLA::resistance::325.9150::24.3425::avwap_D,vp_D,vp_W::D,W",2025-08-22,probe,up,340.010009765625,338.0870855331421,0.005687659525505294,76,1,76,0,0,True,,,composite,resistance,"D,W",0.07468687625816413,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-08-21T00:00:00"", ""zone_valid_to"": ""2025-08-27T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250821::resistance::1::breakout_up::2025-08-25T00:00:00,TSLA,TSLA::20250821::resistance::1,"TSLA::resistance::325.9150::24.3425::avwap_D,vp_D,vp_W::D,W",2025-08-25,breakout_up,up,346.6000061035156,338.0870855331421,0.025179668004618346,77,2,77,1,1,False,1.0,3.0,composite,resistance,"D,W",0.07468687625816413,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-08-21T00:00:00"", ""zone_valid_to"": ""2025-08-27T23:59:59.999999""}",failure,0,1,0,1,0,1,1,1,1,0.28384305582911706,0.06058857365896334,0.2286497363082307,1,5.0,9.0,fast_false_breakout,5.0,0.35852516820229074,0.25276971670161164,,3.800440854534866,4.0,3.9702292126728445,2025-09-23
TSLA::20250919::resistance::1::test::2025-09-19T00:00:00,TSLA,TSLA::20250919::resistance::1,TSLA::resistance::420.3950::13.6650::vp_D::D,2025-09-19,test,up,426.07000732421875,427.22562903086344,-0.002704944713326669,95,0,95,0,0,True,,,inventory,resistance,D,0.032506710300545937,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-19T00:00:00"", ""zone_valid_to"": ""2025-09-25T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250919::resistance::1::probe::2025-09-22T00:00:00,TSLA,TSLA::20250919::resistance::1,TSLA::resistance::420.3950::13.6650::vp_D::D,2025-09-22,probe,up,434.2099914550781,427.22562903086344,0.016348182200722136,96,1,96,1,1,False,1.0,3.0,inventory,resistance,D,0.032506710300545937,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-19T00:00:00"", ""zone_valid_to"": ""2025-09-25T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250919::resistance::1::test::2025-09-25T00:00:00,TSLA,TSLA::20250919::resistance::1,TSLA::resistance::420.3950::13.6650::vp_D::D,2025-09-25,test,up,423.3900146484375,427.22562903086344,-0.00897795947103364,99,4,99,4,1,False,1.0,1.0,inventory,resistance,D,0.032506710300545937,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-19T00:00:00"", ""zone_valid_to"": ""2025-09-25T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250926::resistance::1::probe::2025-09-26T00:00:00,TSLA,TSLA::20250926::resistance::1,"TSLA::resistance::425.0850::24.1475::avwap_D,vp_D::D",2025-09-26,probe,up,440.3999938964844,437.1569815572103,0.00741841598348041,100,0,100,0,0,True,,,composite,resistance,D,0.05680647266185594,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-26T00:00:00"", ""zone_valid_to"": ""2025-10-02T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250926::resistance::1::breakout_up::2025-09-29T00:00:00,TSLA,TSLA::20250926::resistance::1,"TSLA::resistance::425.0850::24.1475::avwap_D,vp_D::D",2025-09-29,breakout_up,up,443.2099914550781,437.1569815572103,0.013846307283727226,101,1,101,1,1,False,1.0,3.0,composite,resistance,D,0.05680647266185594,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-09-26T00:00:00"", ""zone_valid_to"": ""2025-10-02T23:59:59.999999""}",failure,0,1,0,1,0,1,1,1,1,0.06213760762591746,0.07165898752367349,0.020780267029674438,1,4.0,2.0,fast_false_breakout,4.0,0.9801019303348678,0.03666433589786757,,1.093847315530317,3.0,-3.219439366419768,2025-10-27
TSLA::20250926::resistance::1::retest_up::2025-09-30T00:00:00,TSLA,TSLA::20250926::resistance::1,"TSLA::resistance::425.0850::24.1475::avwap_D,vp_D::D",2025-09-30,retest_up,up,444.7200012207031,437.1569815572103,0.01730046638292804,102,2,102,2,2,False,,,composite,resistance,D,0.05680647266185594,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""retest_up"", ""zone_valid_from"": ""2025-09-26T00:00:00"", ""zone_valid_to"": ""2025-10-02T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20250926::resistance::1::test::2025-10-02T00:00:00,TSLA,TSLA::20250926::resistance::1,"TSLA::resistance::425.0850::24.1475::avwap_D,vp_D::D",2025-10-02,test,up,436.0,437.1569815572103,-0.0026466043229802613,104,4,104,4,1,False,1.0,1.0,composite,resistance,D,0.05680647266185594,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-26T00:00:00"", ""zone_valid_to"": ""2025-10-02T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20251010::resistance::1::test::2025-10-10T00:00:00,TSLA,TSLA::20251010::resistance::1,TSLA::resistance::439.2950::4.3925::avwap_D::D,2025-10-10,test,up,413.489990234375,441.4931138332731,-0.06342822282268556,110,0,110,0,0,True,,,cost,resistance,D,0.009999999999999941,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-10-10T00:00:00"", ""zone_valid_to"": ""2025-10-16T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20251010::support::4::probe::2025-10-10T00:00:00,TSLA,TSLA::20251010::support::4,"TSLA::support::430.5300::31.1175::vp_D,vp_W::D,W",2025-10-10,probe,down,413.489990234375,414.97234375,-0.003572174237515059,110,0,110,0,0,True,,,composite,support,"D,W",0.07227770922552083,2,"{""source_reason"": ""vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-10T00:00:00"", ""zone_valid_to"": ""2025-10-16T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
TSLA::20251017::resistance::1::probe::2025-10-20T00:00:00,TSLA,TSLA::20251017::resistance::1,"TSLA::resistance::431.9500::27.5850::avwap_D,vp_D,vp_W::D,W",2025-10-20,probe,up,447.42999267578125,445.7423650074005,0.0037861056091285437,116,1,116,0,0,True,,,composite,resistance,"D,W",0.06386368174050842,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-17T00:00:00"", ""zone_valid_to"": ""2025-10-23T23:59:59.999999""}",not_applicable,0,0,0,0,0,0,0,0,0,,,,0,,,not_applicable,,,,,,,,
