event_id,ticker,zone_id,structural_zone_key,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,touch_count_before_event,meaningful_touch_count_before_event,is_first_meaningful_test,bars_since_last_touch,days_since_last_touch,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,defense_label,hold_flag,failed_hold_flag,defense_unresolved_flag,reversal_strength_pct,max_rejection_excursion,max_penetration_excursion,bars_to_reversal,close_back_from_edge_flag,zone_defense_score
MSFT::20251107::resistance::1::probe::2025-11-10T00:00:00,MSFT,MSFT::20251107::resistance::1,MSFT::resistance::501.8000::5.0175::avwap_D::D,2025-11-10,probe,up,506.0,504.30767804599503,0.0033557330726394774,131,1,131,0,0,True,,,cost,resistance,D,0.010000000000000061,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}",failed_hold,0,1,0,0.08124503033905632,0.08124503033905632,0.018227606586562,2.0,1,7.166294506980673
MSFT::20251107::resistance::1::breakout_up::2025-11-11T00:00:00,MSFT,MSFT::20251107::resistance::1,MSFT::resistance::501.8000::5.0175::avwap_D::D,2025-11-11,breakout_up,up,508.67999267578125,504.30767804599503,0.008669934684967146,132,2,132,1,1,False,1.0,1.0,cost,resistance,D,0.010000000000000061,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
MSFT::20251107::resistance::1::retest_up::2025-11-12T00:00:00,MSFT,MSFT::20251107::resistance::1,MSFT::resistance::501.8000::5.0175::avwap_D::D,2025-11-12,retest_up,up,511.1400146484375,504.30767804599503,0.01354795276747567,133,3,133,2,2,False,,,cost,resistance,D,0.010000000000000061,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""retest_up"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
MSFT::20251107::resistance::1::test::2025-11-13T00:00:00,MSFT,MSFT::20251107::resistance::1,MSFT::resistance::501.8000::5.0175::avwap_D::D,2025-11-13,test,up,503.2900085449219,504.30767804599503,-0.0020179536131915525,134,4,134,3,1,False,1.0,1.0,cost,resistance,D,0.010000000000000061,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}",failed_hold,0,1,0,0.07629794600434021,0.07629794600434021,0.015491172177790936,1.0,1,6.890500826210746
MSFT::20251114::resistance::1::probe::2025-11-14T00:00:00,MSFT,MSFT::20251114::resistance::1,MSFT::resistance::504.0800::5.0400::avwap_D::D,2025-11-14,probe,up,510.17999267578125,506.59944159892376,0.007067814890511115,135,0,135,0,0,True,,,cost,resistance,D,0.009999999999999981,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-11-14T00:00:00"", ""zone_valid_to"": ""2025-11-20T23:59:59.999999""}",failed_hold,0,1,0,0.08877254827224375,0.08877254827224375,0.010897275174326737,1.0,1,8.505472813278235
MSFT::20251201::support::4::probe::2025-12-03T00:00:00,MSFT,MSFT::20251201::support::4,"MSFT::support::484.7700::10.7525::avwap_D,avwap_W,vp_D::D,W",2025-12-03,probe,down,477.7300109863281,479.39337238211743,-0.0034697213011603088,147,2,147,0,0,True,,,composite,support,"D,W",0.02217952904102322,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-12-01T00:00:00"", ""zone_valid_to"": ""2025-12-03T23:59:59.999999""}",failed_hold,0,1,0,0.00751469712040629,0.00751469712040629,0.006056366889920603,,1,0.7669603608469807
NVDA::20250702::resistance::1::probe::2025-07-03T00:00:00,NVDA,NVDA::20250702::resistance::1,"NVDA::resistance::156.8550::2.6850::avwap_D,vp_D::D",2025-07-03,probe,up,159.33999633789062,158.19880201339723,0.007213672353832077,41,1,41,0,0,True,,,composite,resistance,D,0.01711471601327328,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}",failed_hold,0,1,0,0.01255177636479213,0.01255177636479213,0.1586687175812802,1.0,0,-11.438319770023204
NVDA::20250702::resistance::1::test::2025-07-07T00:00:00,NVDA,NVDA::20250702::resistance::1,"NVDA::resistance::156.8550::2.6850::avwap_D,vp_D::D",2025-07-07,test,up,158.24000549316406,158.19880201339723,0.00026045380396335813,42,2,42,1,1,False,1.0,4.0,composite,resistance,D,0.01711471601327328,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}",failed_hold,0,1,0,-0.000947888595029496,-0.000947888595029496,0.1586687175812802,,0,-12.693497406502416
NVDA::20250702::resistance::1::breakout_up::2025-07-09T00:00:00,NVDA,NVDA::20250702::resistance::1,"NVDA::resistance::156.8550::2.6850::avwap_D,vp_D::D",2025-07-09,breakout_up,up,162.8800048828125,158.19880201339723,0.029590634125148688,44,4,44,3,1,False,1.0,1.0,composite,resistance,D,0.01711471601327328,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
NVDA::20250717::support::3::probe::2025-07-22T00:00:00,NVDA,NVDA::20250717::support::3,"NVDA::support::170.8200::2.3400::avwap_D,vp_D::D",2025-07-22,probe,down,167.02999877929688,169.64777808507284,-0.0154306725105662,53,3,53,0,0,True,,,composite,support,D,0.013703985554469585,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-17T00:00:00"", ""zone_valid_to"": ""2025-07-23T23:59:59.999999""}",failed_hold,0,1,0,0.10447223298671957,0.10447223298671957,0.009889766216262308,1.0,1,10.15604200137097
