structural_zone_key,ticker,side,zone_class,timeframe,source_reason,lower,upper,center,snapshot_count,valid_from,valid_to
"AAPL::resistance::200.5200::7.9225::avwap_D,vp_D,vp_W::D,W",AAPL,resistance,composite,"D,W","avwap_D,vp_D,vp_W",196.55968383789062,204.4815186023712,200.5206012201309,1,2025-06-17,2025-06-24 23:59:59.999999
"AAPL::resistance::201.5850::5.2750::avwap_D,vp_D::D",AAPL,resistance,composite,D,"avwap_D,vp_D",198.94895232518513,204.22272685368856,201.58583958943683,1,2025-06-25,2025-07-01 23:59:59.999999
"AAPL::support::200.1450::7.1750::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",196.55968383789062,203.73365112304688,200.14666748046875,1,2025-06-25,2025-07-01 23:59:59.999999
AAPL::support::197.3000::2.8275::vp_W::W,AAPL,support,inventory,W,vp_W,195.8868393055598,198.71317252000173,197.30000591278076,1,2025-07-02,2025-07-09 23:59:59.999999
"AAPL::support::201.5650::6.2825::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",198.4255054426193,204.70783793608348,201.56667168935138,1,2025-07-02,2025-07-09 23:59:59.999999
AAPL::support::205.8350::2.0575::avwap_D::D,AAPL,support,cost,D,avwap_D,204.80782229454485,206.86619236785685,205.83700733120085,1,2025-07-02,2025-07-09 23:59:59.999999
AAPL::resistance::211.1550::2.1125::avwap_D::D,AAPL,resistance,cost,D,avwap_D,210.09730224805108,212.20883292391088,211.15306758598098,1,2025-07-10,2025-07-16 23:59:59.999999
"AAPL::support::200.5850::8.6375::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",196.26635798454285,204.90387356758117,200.58511577606203,1,2025-07-10,2025-07-16 23:59:59.999999
"AAPL::support::210.0800::3.0250::avwap_D,vp_D::D",AAPL,support,composite,D,"avwap_D,vp_D",208.56830977201463,211.59400791478467,210.08115884339963,1,2025-07-10,2025-07-16 23:59:59.999999
"AAPL::resistance::210.5000::5.6325::avwap_D,vp_D,vp_W::D,W",AAPL,resistance,composite,"D,W","avwap_D,vp_D,vp_W",207.6833373403549,213.31499372959138,210.49916553497314,1,2025-07-17,2025-07-23 23:59:59.999999
"AAPL::support::201.9950::7.0475::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",198.46992572307587,205.51829177230587,201.99410874769086,1,2025-07-17,2025-07-23 23:59:59.999999
"AAPL::support::203.0700::7.4400::avwap_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_W",199.35159190654755,206.79050533282026,203.0710486196839,1,2025-07-24,2025-07-30 23:59:59.999999
"AAPL::support::211.4550::6.7100::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",208.10216744422914,214.81259314537047,211.4573802947998,1,2025-07-24,2025-07-30 23:59:59.999999
"AAPL::resistance::211.8650::7.4925::avwap_D,vp_D,vp_W::D,W",AAPL,resistance,composite,"D,W","avwap_D,vp_D,vp_W",208.11755793571473,215.6109785135587,211.8642682246367,1,2025-07-31,2025-08-06 23:59:59.999999
AAPL::support::201.2400::3.7750::vp_W::W,AAPL,support,inventory,W,vp_W,199.35379607200622,203.1295451450348,201.2416706085205,1,2025-07-31,2025-08-06 23:59:59.999999
AAPL::support::205.8800::3.6200::avwap_D::D,AAPL,support,cost,D,avwap_D,204.07039415284245,207.68931255094023,205.87985335189134,1,2025-07-31,2025-08-06 23:59:59.999999
AAPL::resistance::213.8450::4.2200::vp_D::D,AAPL,resistance,inventory,D,vp_D,211.73576778888702,215.95673010031382,213.8462489446004,1,2025-08-07,2025-08-13 23:59:59.999999
AAPL::support::206.2050::3.6425::avwap_D::D,AAPL,support,cost,D,avwap_D,204.38102509206618,208.02456651897361,206.20279580551988,1,2025-08-07,2025-08-13 23:59:59.999999
"AAPL::support::211.3800::8.2850::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",207.2380959177017,215.52356751918794,211.38083171844482,1,2025-08-07,2025-08-13 23:59:59.999999
"AAPL::support::203.1300::4.3600::vp_D,vp_W::D,W",AAPL,support,composite,"D,W","vp_D,vp_W",200.9497686243057,205.30879941781362,203.12928402105968,1,2025-08-14,2025-08-20 23:59:59.999999
"AAPL::support::212.5750::12.0525::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",206.54897505170203,218.60225323560306,212.57561414365256,1,2025-08-14,2025-08-20 23:59:59.999999
"AAPL::support::229.3700::3.7625::avwap_D,vp_D::D",AAPL,support,composite,D,"avwap_D,vp_D",227.48964302980957,231.25308804829913,229.37136553905435,1,2025-08-14,2025-08-20 23:59:59.999999
"AAPL::resistance::230.5600::7.2075::avwap_D,vp_D::D",AAPL,resistance,composite,D,"avwap_D,vp_D",226.9551239180565,234.16216880400975,230.55864636103314,1,2025-08-21,2025-08-27 23:59:59.999999
AAPL::support::203.6000::3.4375::vp_D::D,AAPL,support,inventory,D,vp_D,201.88241356690725,205.3188365093867,203.60062503814697,1,2025-08-21,2025-08-27 23:59:59.999999
"AAPL::support::211.2150::11.0775::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",205.67476132710775,216.75189476013182,211.21332804361978,1,2025-08-21,2025-08-27 23:59:59.999999
AAPL::support::220.7350::2.2075::avwap_D::D,AAPL,support,cost,D,avwap_D,219.63286299666626,221.8402284539192,220.73654572529273,1,2025-08-21,2025-08-27 23:59:59.999999
"AAPL::support::212.0050::9.1250::avwap_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_W",207.44413440704346,216.56836254119872,212.0062484741211,1,2025-08-28,2025-09-04 23:59:59.999999
AAPL::support::221.8750::2.2200::avwap_D::D,AAPL,support,cost,D,avwap_D,220.76785117657914,222.9866235502131,221.87723736339612,1,2025-08-28,2025-09-04 23:59:59.999999
"AAPL::support::229.5100::9.2975::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",224.8597504425049,234.1569172414144,229.50833384195965,1,2025-08-28,2025-09-04 23:59:59.999999
"AAPL::support::211.9000::6.9200::avwap_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_W",208.44049873669942,215.3594979572296,211.8999983469645,1,2025-09-05,2025-09-11 23:59:59.999999
AAPL::support::224.0100::2.2400::avwap_D::D,AAPL,support,cost,D,avwap_D,222.88915856342066,225.1292506092842,224.00920458635244,1,2025-09-05,2025-09-11 23:59:59.999999
"AAPL::support::229.9050::8.9625::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",225.42542022705078,234.38695770263672,229.90618896484375,1,2025-09-05,2025-09-11 23:59:59.999999
AAPL::resistance::231.1900::2.3125::avwap_D::D,AAPL,resistance,cost,D,avwap_D,230.03492537237494,232.34683417008725,231.1908797712311,1,2025-09-12,2025-09-18 23:59:59.999999
AAPL::resistance::233.6850::2.3375::avwap_D::D,AAPL,resistance,cost,D,avwap_D,232.51600967783827,234.85285399620852,233.6844318370234,1,2025-09-12,2025-09-18 23:59:59.999999
AAPL::resistance::237.3000::3.1050::vp_D::D,AAPL,resistance,inventory,D,vp_D,235.74860180536905,238.85242409388226,237.30051294962567,1,2025-09-12,2025-09-18 23:59:59.999999
"AAPL::support::213.1150::5.4500::avwap_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_W",210.3894309870402,215.83890661875407,213.11416880289715,1,2025-09-12,2025-09-18 23:59:59.999999
"AAPL::support::229.4000::9.5425::avwap_D,vp_D,vp_W::D,W",AAPL,support,composite,"D,W","avwap_D,vp_D,vp_W",224.63024055376505,234.17270165761312,229.4014711056891,1,2025-09-12,2025-09-18 23:59:59.999999
AAPL::resistance::238.2150::5.6700::vp_D::D,AAPL,resistance,inventory,D,vp_D,235.37862561861675,241.0494431781769,238.21403439839682,1,2025-09-19,2025-09-25 23:59:59.999999
