raw_interaction_id,ticker,zone_id,structural_zone_key,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,touch_count_before_event,meaningful_touch_count_before_event,is_first_meaningful_test,bars_since_last_touch,days_since_last_touch,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,event_id
NVDA::20251201::resistance::1::breakout_up::2025-12-02T00:00:00,NVDA,NVDA::20251201::resistance::1,NVDA::resistance::177.2000::1.7725::avwap_D::D,2025-12-02,breakout_up,up,181.4600067138672,178.08703569299846,0.018940014402190095,146,1,146,1,1,False,1.0,1.0,cost,resistance,D,0.009999999999999853,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-12-01T00:00:00"", ""zone_valid_to"": ""2025-12-03T23:59:59.999999""}",
NVDA::20251201::resistance::1::probe::2025-12-03T00:00:00,NVDA,NVDA::20251201::resistance::1,NVDA::resistance::177.2000::1.7725::avwap_D::D,2025-12-03,probe,up,179.58999633789062,178.08703569299846,0.008439472525575083,147,2,147,2,1,False,1.0,1.0,cost,resistance,D,0.009999999999999853,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-12-01T00:00:00"", ""zone_valid_to"": ""2025-12-03T23:59:59.999999""}",
ORCL::20250617::support::4::test::2025-06-23T00:00:00,ORCL,ORCL::20250617::support::4,ORCL::support::205.3850::2.0550::avwap_D::D,2025-06-23,test,down,207.0399932861328,204.35828031593488,0.01312260489788839,33,3,33,0,0,True,,,cost,support,D,0.009999999999999896,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-06-17T00:00:00"", ""zone_valid_to"": ""2025-06-24T23:59:59.999999""}",
ORCL::20250617::resistance::1::test::2025-06-24T00:00:00,ORCL,ORCL::20250617::resistance::1,"ORCL::resistance::212.7050::7.3225::avwap_D,vp_D,vp_W::D,W",2025-06-24,test,up,215.27000427246094,216.36461050510405,-0.005059081658907866,34,4,34,0,0,True,,,composite,resistance,"D,W",0.03442472847348037,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-06-17T00:00:00"", ""zone_valid_to"": ""2025-06-24T23:59:59.999999""}",
ORCL::20250702::resistance::1::probe::2025-07-02T00:00:00,ORCL,ORCL::20250702::resistance::1,ORCL::resistance::220.9550::2.2100::avwap_D::D,2025-07-02,probe,up,229.97999572753906,222.0615197179657,0.035658929199576805,40,0,40,0,0,True,,,cost,resistance,D,0.010000000000000033,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}",
ORCL::20250702::resistance::1::breakout_up::2025-07-03T00:00:00,ORCL,ORCL::20250702::resistance::1,ORCL::resistance::220.9550::2.2100::avwap_D::D,2025-07-03,breakout_up,up,237.32000732421875,222.0615197179657,0.06871288472506379,41,1,41,1,1,False,1.0,1.0,cost,resistance,D,0.010000000000000033,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}",
ORCL::20250702::resistance::1::probe::2025-07-07T00:00:00,ORCL,ORCL::20250702::resistance::1,ORCL::resistance::220.9550::2.2100::avwap_D::D,2025-07-07,probe,up,232.25999450683594,222.0615197179657,0.04592634870653434,42,2,42,2,1,False,1.0,4.0,cost,resistance,D,0.010000000000000033,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}",
ORCL::20250702::resistance::1::probe::2025-07-08T00:00:00,ORCL,ORCL::20250702::resistance::1,ORCL::resistance::220.9550::2.2100::avwap_D::D,2025-07-08,probe,up,234.5,222.0615197179657,0.056013668184528694,43,3,43,3,1,False,1.0,1.0,cost,resistance,D,0.010000000000000033,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}",
ORCL::20250702::resistance::1::probe::2025-07-09T00:00:00,ORCL,ORCL::20250702::resistance::1,ORCL::resistance::220.9550::2.2100::avwap_D::D,2025-07-09,probe,up,235.80999755859375,222.0615197179657,0.06191292331102491,44,4,44,4,1,False,1.0,1.0,cost,resistance,D,0.010000000000000033,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}",
ORCL::20250710::resistance::1::test::2025-07-10T00:00:00,ORCL,ORCL::20250710::resistance::1,ORCL::resistance::235.8200::2.3575::avwap_D::D,2025-07-10,test,up,235.0,236.9983951020513,-0.008432103943956175,45,0,45,0,0,True,,,cost,resistance,D,0.009999999999999929,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}",
