event_id,ticker,zone_id,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,is_first_test,prior_test_count,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,label,success_flag,failure_flag,unresolved_flag,max_favorable_excursion,max_adverse_excursion,follow_through_pct,reentry_flag,bars_to_reentry,bars_to_target,outcome_window_end
AAPL::20250825::resistance::1::test::2025-08-28T00:00:00,AAPL,AAPL::20250825::resistance::1,2025-08-28,test,up,232.55999755859375,232.7565005493164,-0.0008442427612500318,3,True,0,inventory,resistance,D,0.02830543582433459,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-08-25T00:00:00"", ""zone_valid_to"": ""2025-09-01T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20250930::resistance::1::test::2025-10-01T00:00:00,AAPL,AAPL::20250930::resistance::1,2025-10-01,test,up,255.4499969482422,257.23889101664224,-0.006954213110350879,1,True,0,composite,resistance,D,0.014026132996772607,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-30T00:00:00"", ""zone_valid_to"": ""2025-10-06T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20250930::resistance::1::probe::2025-10-03T00:00:00,AAPL,AAPL::20250930::resistance::1,2025-10-03,probe,up,258.0199890136719,257.23889101664224,0.003036469306575806,3,False,1,composite,resistance,D,0.014026132996772607,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-30T00:00:00"", ""zone_valid_to"": ""2025-10-06T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20251007::resistance::1::test::2025-10-08T00:00:00,AAPL,AAPL::20251007::resistance::1,2025-10-08,test,up,258.05999755859375,258.29155540676476,-0.0008964979432112826,1,True,0,composite,resistance,"D,W",0.010853601813218202,2,"{""source_reason"": ""avwap_D,avwap_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-10-07T00:00:00"", ""zone_valid_to"": ""2025-10-13T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20251007::support::4::probe::2025-10-10T00:00:00,AAPL,AAPL::20251007::support::4,2025-10-10,probe,down,245.27000427246094,252.20525324821472,-0.027498431878134846,3,True,0,inventory,support,D,0.024098014046340765,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-07T00:00:00"", ""zone_valid_to"": ""2025-10-13T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20251007::support::4::breakout_down::2025-10-13T00:00:00,AAPL,AAPL::20251007::support::4,2025-10-13,breakout_down,down,247.66000366210938,252.20525324821472,-0.01802202582050109,4,False,1,inventory,support,D,0.024098014046340765,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""breakout_down"", ""zone_valid_from"": ""2025-10-07T00:00:00"", ""zone_valid_to"": ""2025-10-13T23:59:59.999999""}",success,1,0,0,0.11418880061828716,-0.001897767963148232,0.08087700267752744,0,,1.0,2025-02-07
AAPL::20251014::resistance::1::probe::2025-10-20T00:00:00,AAPL,AAPL::20251014::resistance::1,2025-10-20,probe,up,262.239990234375,259.82709078073503,0.009286558404628342,4,True,0,composite,resistance,"D,W",0.03283825158249975,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-14T00:00:00"", ""zone_valid_to"": ""2025-10-20T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20251104::resistance::1::test::2025-11-06T00:00:00,AAPL,AAPL::20251104::resistance::1,2025-11-06,test,up,269.7699890136719,272.32529981605666,-0.009383302998695962,2,True,0,composite,resistance,"D,W",0.011816298867020722,2,"{""source_reason"": ""avwap_D,avwap_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-04T00:00:00"", ""zone_valid_to"": ""2025-11-10T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20251111::resistance::1::probe::2025-11-11T00:00:00,AAPL,AAPL::20251111::resistance::1,2025-11-11,probe,up,275.25,273.2107479858399,0.007464025589014596,0,True,0,composite,resistance,"D,W",0.025172444266625682,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-11-11T00:00:00"", ""zone_valid_to"": ""2025-11-17T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AAPL::20251111::resistance::1::test::2025-11-12T00:00:00,AAPL,AAPL::20251111::resistance::1,2025-11-12,test,up,273.4700012207031,273.2107479858399,0.0009489130159575143,1,False,1,composite,resistance,"D,W",0.025172444266625682,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-11T00:00:00"", ""zone_valid_to"": ""2025-11-17T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
