zone_id,ticker,valid_from,valid_to,zone_class,side,lower,upper,center,timeframe,source_reason,confluence_count,metadata
MSFT::20260402::support::5,MSFT,2026-04-02,,cost,support,364.1359010277406,367.7955583245018,365.9657296761212,D,avwap_D,1,"{'institutional_score': 158.46198133343773, 'structural_score': 158.46198133343773, 'touch_count': 0, 'reaction_score': 0.0, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20260319::resistance::1,NVDA,2026-03-19,2026-03-25 23:59:59.999999,composite,resistance,178.9777883052826,188.5738817691803,183.77583503723145,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 126.90824277815209, 'structural_score': 120.54824277815209, 'touch_count': 8, 'reaction_score': 3.1800000000000006, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
NVDA::20260326::resistance::1,NVDA,2026-03-26,2026-04-01 23:59:59.999999,composite,resistance,175.66664171218872,186.34336042404175,181.00500106811523,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 164.67392356072062, 'structural_score': 158.55392356072062, 'touch_count': 9, 'reaction_score': 3.0600000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
NVDA::20260402::resistance::1,NVDA,2026-04-02,,composite,resistance,174.13427527427675,188.8186547279358,181.47646500110628,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 88.16125443961002, 'structural_score': 82.76125443961001, 'touch_count': 12, 'reaction_score': 2.7, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
NVDA::20260402::support::2,NVDA,2026-04-02,,cost,support,170.46237147322321,172.17556113627066,171.31896630474694,D,avwap_D,1,"{'institutional_score': 71.55436272537112, 'structural_score': 63.75436272537112, 'touch_count': 2, 'reaction_score': 3.9000000000000004, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
AMZN::20260319::resistance::1,AMZN,2026-03-19,2026-03-25 23:59:59.999999,cost,resistance,210.47418777455144,212.58950624464742,211.53184700959943,D,avwap_D,1,"{'institutional_score': 165.22029402730453, 'structural_score': 158.46029402730454, 'touch_count': 5, 'reaction_score': 3.3800000000000003, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
AMZN::20260319::resistance::2,AMZN,2026-03-19,2026-03-25 23:59:59.999999,inventory,resistance,212.65231947660448,215.91955418825148,214.28593683242798,D,vp_D,1,"{'institutional_score': 82.89745380687971, 'structural_score': 75.33745380687971, 'touch_count': 3, 'reaction_score': 3.7800000000000002, 'source_label': 'VP (D, 1h composite)', 'source_types': ['vp_D'], 'timeframes': ['D']}"
AMZN::20260319::support::3,AMZN,2026-03-19,2026-03-25 23:59:59.999999,composite,support,202.10082926750184,214.90083775520324,208.50083351135254,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 189.81808547736617, 'structural_score': 183.45808547736615, 'touch_count': 8, 'reaction_score': 3.1800000000000006, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20260326::support::1,AMZN,2026-03-26,2026-04-01 23:59:59.999999,composite,support,202.10082926750184,214.90083775520324,208.50083351135254,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 137.28552119519128, 'structural_score': 131.16552119519127, 'touch_count': 9, 'reaction_score': 3.0600000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20260402::support::1,AMZN,2026-04-02,,composite,support,204.1350754547119,213.9668724489212,209.05097395181656,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 198.0178864232259, 'structural_score': 192.37788642322587, 'touch_count': 11, 'reaction_score': 2.8200000000000003, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
JPM::20260319::resistance::1,JPM,2026-03-19,2026-03-25 23:59:59.999999,cost,resistance,287.7270934352847,290.61882301754883,289.17295822641677,D,avwap_D,1,"{'institutional_score': 166.01647410319345, 'structural_score': 158.45647410319344, 'touch_count': 3, 'reaction_score': 3.7800000000000002, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
JPM::20260319::resistance::2,JPM,2026-03-19,2026-03-25 23:59:59.999999,composite,resistance,293.3775541114807,302.2682817649841,297.8229179382324,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 70.07003444136996, 'structural_score': 64.95003444136995, 'touch_count': 4, 'reaction_score': 2.5600000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
JPM::20260319::resistance::3,JPM,2026-03-19,2026-03-25 23:59:59.999999,inventory,resistance,305.15328023910524,310.2008838844299,307.6770820617676,W,vp_W,1,"{'institutional_score': 33.638310885090405, 'structural_score': 26.558310885090407, 'touch_count': 5, 'reaction_score': 3.5400000000000005, 'source_label': 'VP (W, 1d higher-timeframe composite)', 'source_types': ['vp_W'], 'timeframes': ['W']}"
JPM::20260319::support::4,JPM,2026-03-19,2026-03-25 23:59:59.999999,composite,support,283.577587890625,290.5041292190552,287.0408585548401,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 182.81454539110936, 'structural_score': 175.25454539110936, 'touch_count': 3, 'reaction_score': 3.7800000000000002, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
JPM::20260326::resistance::1,JPM,2026-03-26,2026-04-01 23:59:59.999999,composite,resistance,295.2418822306533,300.53209296226504,297.88698759645916,D,"avwap_D,vp_D",2,"{'institutional_score': 164.52128016088926, 'structural_score': 159.40128016088926, 'touch_count': 4, 'reaction_score': 2.5600000000000005, 'source_label': 'avwap_D, vp_D', 'source_types': ['avwap_D', 'vp_D'], 'timeframes': ['D']}"
JPM::20260326::support::2,JPM,2026-03-26,2026-04-01 23:59:59.999999,composite,support,283.2736864423752,290.9457348319392,287.1097106371572,D,"avwap_D,vp_D",2,"{'institutional_score': 72.07013624857481, 'structural_score': 64.7501362485748, 'touch_count': 4, 'reaction_score': 3.66, 'source_label': 'avwap_D, vp_D', 'source_types': ['avwap_D', 'vp_D'], 'timeframes': ['D']}"
JPM::20260326::support::3,JPM,2026-03-26,2026-04-01 23:59:59.999999,composite,support,283.54802539825437,302.2436463546753,292.89583587646484,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 185.39011856804984, 'structural_score': 178.79011856804985, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
JPM::20260402::resistance::1,JPM,2026-04-02,,cost,resistance,294.2971810459712,297.25494165949857,295.77606135273487,D,avwap_D,1,"{'institutional_score': 163.0917430882334, 'structural_score': 158.4517430882334, 'touch_count': 5, 'reaction_score': 2.3200000000000003, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
JPM::20260402::support::2,JPM,2026-04-02,,composite,support,283.2002958838145,300.2678864479065,291.7340911658605,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 164.27484011524396, 'structural_score': 158.15484011524396, 'touch_count': 9, 'reaction_score': 3.0600000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
