event_id,ticker,zone_id,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,is_first_test,prior_test_count,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,label,success_flag,failure_flag,unresolved_flag,false_breakout_flag,failed_follow_through_flag,max_favorable_excursion,max_adverse_excursion,follow_through_pct,reentry_flag,bars_to_reentry,bars_to_target,outcome_window_end
AAPL::20260326::support::3::test::2026-03-30T00:00:00,AAPL,AAPL::20260326::support::3,2026-03-30,test,down,246.6300048828125,246.64089648564658,-4.4159760158479974e-05,37,2,37,True,0,composite,support,D,0.028675782684994933,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2026-03-26T00:00:00"", ""zone_valid_to"": ""2026-04-01T23:59:59.999999""}",not_applicable,0,0,0,0,0,,,,0,,,
AMZN::20260319::resistance::1::test::2026-03-23T00:00:00,AMZN,AMZN::20260319::resistance::1,2026-03-23,test,up,210.13999938964844,212.58950624464742,-0.011522237848278837,32,2,32,True,0,cost,resistance,D,0.009999999999999959,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2026-03-19T00:00:00"", ""zone_valid_to"": ""2026-03-25T23:59:59.999999""}",not_applicable,0,0,0,0,0,,,,0,,,
AMZN::20260326::support::1::probe::2026-03-27T00:00:00,AMZN,AMZN::20260326::support::1,2026-03-27,probe,down,199.33999633789062,202.10082926750184,-0.013660670961210937,36,1,36,True,0,composite,support,"D,W",0.06139068257971479,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2026-03-26T00:00:00"", ""zone_valid_to"": ""2026-04-01T23:59:59.999999""}",not_applicable,0,0,0,0,0,,,,0,,,
AMZN::20260326::support::1::breakout_down::2026-03-30T00:00:00,AMZN,AMZN::20260326::support::1,2026-03-30,breakout_down,down,200.9499969482422,202.10082926750184,-0.005694347338557433,37,2,37,False,1,composite,support,"D,W",0.06139068257971479,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""breakout_down"", ""zone_valid_from"": ""2026-03-26T00:00:00"", ""zone_valid_to"": ""2026-04-01T23:59:59.999999""}",failure,0,1,0,1,0,-0.015874608060968944,0.0628514808391142,-0.043891552416845676,1,1.0,,2026-04-02
AMZN::20260326::support::1::failed_breakout_down::2026-03-31T00:00:00,AMZN,AMZN::20260326::support::1,2026-03-31,failed_breakout_down,down,208.27000427246094,202.10082926750184,0.030525233505071594,38,3,38,False,2,composite,support,"D,W",0.06139068257971479,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""failed_breakout_down"", ""zone_valid_from"": ""2026-03-26T00:00:00"", ""zone_valid_to"": ""2026-04-01T23:59:59.999999""}",not_applicable,0,0,0,0,0,,,,0,,,
JPM::20260319::resistance::1::test::2026-03-20T00:00:00,JPM,JPM::20260319::resistance::1,2026-03-20,test,up,286.55999755859375,290.61882301754883,-0.013966147879932727,31,1,31,True,0,cost,resistance,D,0.009999999999999882,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2026-03-19T00:00:00"", ""zone_valid_to"": ""2026-03-25T23:59:59.999999""}",not_applicable,0,0,0,0,0,,,,0,,,
JPM::20260319::resistance::1::probe::2026-03-24T00:00:00,JPM,JPM::20260319::resistance::1,2026-03-24,probe,up,292.3999938964844,290.61882301754883,0.006128890277791765,33,3,33,False,1,cost,resistance,D,0.009999999999999882,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2026-03-19T00:00:00"", ""zone_valid_to"": ""2026-03-25T23:59:59.999999""}",not_applicable,0,0,0,0,0,,,,0,,,
JPM::20260319::resistance::1::breakout_up::2026-03-25T00:00:00,JPM,JPM::20260319::resistance::1,2026-03-25,breakout_up,up,295.4200134277344,290.61882301754883,0.016520576197831562,34,4,34,False,2,cost,resistance,D,0.009999999999999882,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2026-03-19T00:00:00"", ""zone_valid_to"": ""2026-03-25T23:59:59.999999""}",failure,0,1,0,1,0,0.011170495034101651,0.046273146051015034,-0.0027757338262369966,1,2.0,,2026-04-02
JPM::20260326::support::2::probe::2026-03-27T00:00:00,JPM,JPM::20260326::support::2,2026-03-27,probe,down,282.8399963378906,283.2736864423752,-0.001530993259314985,36,1,36,True,0,composite,support,D,0.026721661111838043,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2026-03-26T00:00:00"", ""zone_valid_to"": ""2026-04-01T23:59:59.999999""}",not_applicable,0,0,0,0,0,,,,0,,,
JPM::20260326::support::3::probe::2026-03-27T00:00:00,JPM,JPM::20260326::support::3,2026-03-27,probe,down,282.8399963378906,283.54802539825437,-0.0024970340010983592,36,1,36,True,0,composite,support,"D,W",0.0638302722893822,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2026-03-26T00:00:00"", ""zone_valid_to"": ""2026-04-01T23:59:59.999999""}",not_applicable,0,0,0,0,0,,,,0,,,
